"Trial","Subject_Time","Cue_Pos","Target_Pos"
"Invalid-300","0.2284","4,4","0,12"
"Invalid-300","0.28536","12,0","8,12"
"Valid-300","0.29555","0,4","0,4"
"Invalid-300","0.20168","8,12","12,8"
"Valid-300","0.26316","12,0","12,0"
"Invalid-300","0.31902","4,4","4,0"
"Invalid-100","0.37674","0,0","8,0"
"Invalid-300","0.22654","8,12","12,0"
"Valid-300","0.29071","12,0","12,0"
"Valid-100","0.26598","12,0","12,0"
"Invalid-100","0.38828","0,12","8,8"
"Invalid-300","0.26548","8,12","8,12"
"Valid-300","0.25562","4,4","4,4"
"Valid-100","0.41608","8,0","8,0"
"Valid-100","0.38809","12,12","12,12"
"Valid-100","0.29336","4,0","4,0"
"Valid-300","0.30472","4,8","4,8"
"Invalid-100","0.3836","0,4","0,0"
"Invalid-100","0.32757","0,0","12,4"
"Invalid-100","0.36977","4,0","0,4"
"Invalid-100","0.34334","12,0","12,8"
"Invalid-100","0.3621","8,8","12,4"
"Valid-300","0.37959","12,12","12,12"
"Invalid-300","0.25637","12,12","4,4"
"Valid-300","0.36312","4,8","4,8"
"Valid-300","0.24555","12,4","12,4"
"Invalid-300","0.29357","4,8","12,0"
"Valid-300","0.42234","8,12","8,12"
"Valid-100","0.47248","4,12","4,12"
"Valid-100","0.36459","0,4","0,4"
"Valid-100","0.37932","4,0","4,0"
"Valid-300","0.26036","12,4","12,4"
"Valid-100","0.43824","0,12","0,12"
"Valid-300","0.25513","0,0","0,0"
"Valid-100","0.41234","0,8","0,8"
"Invalid-100","0.36257","8,0","12,12"
"Invalid-100","0.50595","4,4","0,12"
"Valid-100","0.39611","0,12","0,12"
"Valid-100","0.3519","8,8","8,8"
"Invalid-300","0.31445","12,8","12,0"
"Valid-100","0.42109","4,0","4,0"
"Valid-300","0.32241","0,0","0,0"
"Invalid-100","0.33559","12,12","4,0"
"Invalid-300","0.27598","8,4","0,4"
"Valid-300","0.28959","8,0","8,0"
"Invalid-300","0.26963","4,4","4,8"
"Valid-300","0.37576","0,4","0,4"
